Magazine,Number of contribution in magazine,Contributor: Last name / first name,Pseudonym / abbreviation used,Source of contributor data,Sex,Country of Origin,Year of Birth,Year of Death,Age at contribution,Title of contribution,Issue number,Original issue date,Calculable issue date,Type of contribution: comparable,Language,Dedication,Translator,Original language
La Habana Literaria,49,"Blowitz, Adolphe Opper de",,http://viaf.org/viaf/59467579,M,France,1825,1903,66,"Alemania, Francia y su política general europea I",3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,"Cancio, Leopoldo",English
La Habana Literaria,50,"Casal, Julián del",,http://viaf.org/viaf/24758421,M,Cuba,1863,1893,28,Marfiles viejos. Flor de cieno,3,15.10.1891,1891-10-15,Lyricism,Spanish,,,
La Habana Literaria,51,"Camps, Gabriel",,First search unsuccessful,M,NA,NA,NA,NA,Los grandes hombres de España. Introduction,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,51,"Menéndez y Pelayo, Marcelino",,http://viaf.org/viaf/64018425,M,Spain,1856,1912,35,Los grandes hombres de España,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,52,Anonymous,,n.I.,NA,NA,NA,NA,NA,Los grandes hombres de España,3,15.10.1891,1891-10-15,Image,n.I.,,,
La Habana Literaria,53,Editorial department,,n.I.,NA,NA,NA,NA,NA,Porfirio Díaz,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,54,Anonymous,,n.I.,NA,NA,NA,NA,NA,El general Porfirio Díaz,3,15.10.1891,1891-10-15,Image,n.I.,,,
La Habana Literaria,55,"Castillo de González, Aurelia",,http://viaf.org/viaf/39028976,F,Cuba,1842,1920,49,Estudios históricos. I. Xicontencatl,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,56,"Hernández, Pablo",,http://viaf.org/viaf/93117134,M,NA,1852,1921,39,Mi ofrenda (Ante la cuna del ángel),3,15.10.1891,1891-10-15,Lyricism,Spanish,Valdivia,,
La Habana Literaria,57,Anonymous,,n.I.,NA,NA,NA,NA,NA,La emigración cubana á Cayo Hueso,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,58,Anonymous,,n.I.,NA,NA,NA,NA,NA,Notas y noticias,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,59,"Fontanills, Enrique",,First search unsuccessful,M,NA,NA,NA,NA,La Habana elegante. Crónica del buen mundo,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,60,"Gálvez, José María",,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_G%C3%A1lvez_Alonso,M,Cuba,1834,1906,57,Esteban Chartrand,4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,61,Anonymous,,n.I.,NA,NA,NA,NA,NA,Los chorritos de jaruco,4,30.10.1892,1891-10-30,Image,n.I.,,,
La Habana Literaria,62,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,24,Rima,4,30.10.1891,1891-10-30,Lyricism,Spanish,,,
La Habana Literaria,63,"Zayas y Alfonso, Alfredo",,http://viaf.org/viaf/10215057,M,Cuba,1861,1934,30,La república de Chile. El presidente Balmaceda,4,30.10.1891,1891-10-30,Lyricism,Spanish,,,
La Habana Literaria,64,Anonymous,,n.I.,NA,NA,NA,NA,NA,La república de Chile. El presidente Balmaceda,4,30.10.1891,1891-10-30,Image,n.I.,,,
La Habana Literaria,65,"Giberga, Samuel",,http://viaf.org/viaf/219147266798435481490,M,NA,NA,NA,NA,Profesión de fé,4,30.10.1891,1891-10-30,Lyricism,Spanish,,,
La Habana Literaria,66,"Blowitz, Adolphe Opper de",,http://viaf.org/viaf/59467579,M,France,1825,1903,66,"Alemania, Francia y su política general europea II",4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,"Cancio, Leopoldo",English
La Habana Literaria,67,"Coppée, François",,http://viaf.org/viaf/46759181,M,France,1842,1908,49,Canción antigua,4,30.10.1891,1891-10-30,Lyricism,Spanish,"Vélez Triana, Roberto","Arciniegas, Ismael Enrique",French
La Habana Literaria,68,Editorial department,,n.I.,NA,NA,NA,NA,NA,Dr. Vidal Morales y Morales,4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,69,"Cabrera, Raimundo",,http://viaf.org/viaf/38294080,M,Cuba,1852,1923,39,Notas bibliográficas,4,30.10.1891,1891-10-30,Review,Spanish,,,
La Habana Literaria,70,Anonymous,,n.I.,NA,NA,NA,NA,NA,Celebridades americanas. Bartolomé Mitre (1),4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,71,Anonymous,,n.I.,NA,NA,NA,NA,NA,Bartolomé Mitre,4,30.10.1891,1891-10-30,Image,n.I.,,,
La Habana Literaria,72,"Zeno Gandía, Manuel",,http://viaf.org/viaf/68961678,M,Puerto Rico,1855,1930,36,Apólogo (en el álbum de...),4,30.10.1891,1891-10-30,Lyricism,Spanish,,,
La Habana Literaria,73,"Castillo de González, Aurelia",,http://viaf.org/viaf/39028976,F,Cuba,1842,1920,49,Estudios históricos. I. Xicontencatl,4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,74,Editorial department,,n.I.,NA,NA,NA,NA,NA,Don José Alonso y Delgado,4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,75,Anonymous,,n.I.,NA,NA,NA,NA,NA,D. J. Alonso y Delgado,4,30.10.1891,1891-10-30,Image,n.I.,,,
La Habana Literaria,76,Editorial department,,n.I.,NA,NA,NA,NA,NA,Julio Grevy,4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,77,Anonymous,,n.I.,NA,NA,NA,NA,NA,Julio Grévy,4,30.10.1891,1891-10-30,Image,n.I.,,,
La Habana Literaria,78,Anonymous,,n.I.,NA,NA,NA,NA,NA,Notas y noticias,4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,79,"Fontanills, Enrique",,First search unsuccessful,M,NA,NA,NA,NA,La Habana elegante. Notas diversas,4,30.10.1891,1891-10-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,80,"Casal, Julián del",,http://viaf.org/viaf/24758421,M,Cuba,1863,1893,28,Rubén Darío (Azul y A. de Gilbert),5,15.11.1891,1891-11-15,Review,Spanish,,,
La Habana Literaria,81,Anonymous,,n.I.,NA,NA,NA,NA,NA,Rubén Darío,5,15.11.1891,1891-11-15,Image,n.I.,,,
La Habana Literaria,82,"Quesnel, Léo",,http://viaf.org/viaf/68921198,M,France,NA,NA,NA,Un novelista cubano en el extranjero,5,15.11.1891,1891-11-15,Review,Spanish,,Editorial department,French
La Habana Literaria,83,"Schwalbach, Eduardo",Doctor Topsius,http://viaf.org/viaf/99500214,M,Portugal,1860,1946,31,Eça de Queiruz,5,15.11.1891,1891-11-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,84,Anonymous,,n.I.,NA,NA,NA,NA,NA,Eça de Queiruz,5,15.11.1891,1891-11-15,Image,n.I.,,,
La Habana Literaria,85,"Merchán, Rafael María",,http://viaf.org/viaf/13910707,M,Cuba,1844,1906,47,Incidente literario. L. a Lamartine en su centenario,5,15.11.1891,1891-11-15,Lyricism,Spanish,,,
La Habana Literaria,86,"Jorrín, José Silverio",,http://viaf.org/viaf/87103640,M,Cuba,1816,1897,75,Incidente literario. II,5,15.11.1891,1891-11-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,87,Anonymous,,n.I.,NA,NA,NA,NA,NA,R. M. Merchan,5,15.11.1891,1891-11-15,Image,n.I.,,,
La Habana Literaria,88,"Merchán, Rafael María",,http://viaf.org/viaf/13910707,M,Cuba,1844,1906,47,Incidente literario. III,5,15.11.1891,1891-11-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,89,"Pombo, Rafael",,http://viaf.org/viaf/79400080,M,Colombia,1833,1912,58,Incidente literario. IV,5,15.11.1891,1891-11-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,90,"Borrero, Juana",,http://viaf.org/viaf/52487761,F,Cuba,1877,1896,14,Crepuscular,5,15.11.1891,1891-11-15,Lyricism,Spanish,,,
La Habana Literaria,91,"Daudet, Alphonse",,http://viaf.org/viaf/4928621,M,France,1840,1897,51,La embustera,5,15.11.1891,1891-11-15,Fictional Prose,Spanish,,n.I.,French
La Habana Literaria,92,Anonymous,,n.I.,NA,NA,NA,NA,NA,A. Daudet,5,15.11.1891,1891-11-15,Image,n.I.,,,
La Habana Literaria,93,"Cruz, Manuel de la","C., M. de la",http://viaf.org/viaf/25996054,M,Portugal,1861,1896,30,Notas bibliográficas,5,15.11.1891,1891-11-15,Review,Spanish,,,
La Habana Literaria,94,"Castillo de González, Aurelia",,http://viaf.org/viaf/39028976,F,Cuba,1842,1920,49,Estudios históricos. I. Xicontencatl,5,15.11.1891,1891-11-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,95,Editorial department,,n.I.,NA,NA,NA,NA,NA,Francisco A. Conte,5,15.11.1891,1891-11-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,96,Anonymous,,n.I.,NA,NA,NA,NA,NA,Francisco A. Conte,5,15.11.1891,1891-11-15,Image,n.I.,,,
La Habana Literaria,97,"Coppinger, Cornelio C.",,https://es.wikipedia.org/wiki/Jos%C3%A9_Coppinger,M,Ireland,NA,NA,NA,Caridad discreta,5,15.11.1891,1891-11-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,98,"Fontanills, Enrique",,First search unsuccessful,M,NA,NA,NA,NA,La Habana elegante. Notas de la quincena,5,15.11.1891,1891-11-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,99,"Casal, Julián del",,http://viaf.org/viaf/24758421,M,Cuba,1863,1893,28,Pintores cubanos. José Arburu y Morell,6,30.11.1891,1891-11-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,100,Anonymous,,n.I.,NA,NA,NA,NA,NA,José Arburu y Morell,6,30.11.1891,1891-11-30,Image,n.I.,,,
La Habana Literaria,101,"Arburu y Morell, José",,http://viaf.org/viaf/66053772,M,Cuba,1864,1889,deceased,La primera misa en América,6,30.11.1891,1891-11-30,Image,n.I.,,,
La Habana Literaria,102,"Borrero Echeverría, Esteban",,http://viaf.org/viaf/12664942,M,Cuba,1849,1906,42,Tus manos,6,30.11.1891,1891-11-30,Lyricism,Spanish,,,
La Habana Literaria,103,"Zayas y Alfonso, Alfredo",,http://viaf.org/viaf/10215057,M,Cuba,1861,1934,30,La poesía patriótica en Irlanda,6,30.11.1891,1891-11-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,104,"Meza y Suárez Inclán, Ramón",,http://viaf.org/viaf/39526863,M,Cuba,1861,1911,30,Una procesión histórica,6,30.11.1891,1891-11-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,105,"Río, Juan del",,First search unsuccessful,M,NA,NA,NA,NA,"Facsimille del cuadro pintado en los muros de la casa de beneficencia, en 1793, por Juan del Rio",6,30.11.1891,1891-11-30,Image,Spanish,,,
La Habana Literaria,106,"Montoro, Rafael",,http://viaf.org/viaf/7067009,M,Cuba,1852,1933,39,Un autógrafo,6,30.11.1891,1891-11-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,107,"Zuazo, Francisco José de",,First search unsuccessful,M,NA,NA,NA,NA,Paris en 1821 descrito por un cubano,6,30.11.1891,1891-11-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,108,"Morúa Delgado, Martín",,http://viaf.org/viaf/6422017,NA,NA,1857,1910,34,"Oh, la lotería",6,30.11.1891,1891-11-30,Fictional Prose,Spanish,"Rodríguez, Alejandro",,
La Habana Literaria,109,"Gomez Loredo, Antonio",,First search unsuccessful,M,NA,NA,NA,NA,A Guillermina,6,30.11.1891,1891-11-30,Lyricism,Spanish,,,
La Habana Literaria,110,"Fontanills, Enrique",,First search unsuccessful,M,NA,NA,NA,NA,La Habana elegante. Ecos y murmullos,6,30.11.1891,1891-11-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,111,"Rodríguez, José Ignacio",,http://viaf.org/viaf/16482799,M,Cuba,1831,1907,60,Reminiscencias,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,112,Editorial department,,n.I.,NA,NA,NA,NA,NA,El sepulcro del padre Varela,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,113,Anonymous,,n.I.,NA,NA,NA,NA,NA,Presbítero Don Félix Varela,7,15.12.1891,1891-12-15,Image,n.I.,,,
La Habana Literaria,114,"Lamartine, Alphonse de",,http://viaf.org/viaf/95150108,M,France,1790,1869,deceased,El lago (de Lamartine),7,15.12.1891,1891-12-15,Lyricism,Spanish,"Casal, Julián del","Castillo de González, Aurelia",French
La Habana Literaria,115,"Merchán, Rafael María",,http://viaf.org/viaf/13910707,M,Cuba,1844,1906,47,Cartas literarias I,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,116,"Merchán, Rafael María",,http://viaf.org/viaf/13910707,M,Cuba,1844,1906,47,Cartas literarias II,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,117,"Zeno Gandía, Manuel",,http://viaf.org/viaf/68961678,M,Puerto Rico,1855,1930,36,Estudio del natural,7,15.12.1891,1891-12-15,Lyricism,Spanish,,,
La Habana Literaria,118,"France, Anatole",,http://viaf.org/viaf/4925052,M,France,1844,1924,47,Pablo Verlaine (mis hospitales),7,15.12.1891,1891-12-15,Review,Spanish,,,
La Habana Literaria,119,"Casal, Julián del",,http://viaf.org/viaf/24758421,M,Cuba,1863,1893,28,Canas,7,15.12.1891,1891-12-15,Lyricism,Spanish,,,
La Habana Literaria,120,"Zola, Émile",,http://viaf.org/viaf/32004502,M,France,1840,1902,51,"La leyenda del ""Capita azul, del amor""",7,15.12.1891,1891-12-15,Fictional Prose,Spanish,,n.I.,German
La Habana Literaria,121,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,24,Medallones. Leconte de Lisle,7,15.12.1891,1891-12-15,Lyricism,Spanish,,,
La Habana Literaria,121,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,24,Medallones. Walt Whitman,7,15.12.1891,1891-12-15,Lyricism,Spanish,,,
La Habana Literaria,122,"Zayas y Alfonso, Alfredo",,http://viaf.org/viaf/10215057,M,Cuba,1861,1934,30,Una entrevista con Alejandro Duma (hijo),7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,123,Anonymous,,n.I.,NA,NA,NA,NA,NA,Alejandro Dumas Hijo,7,15.12.1891,1891-12-15,Image,n.I.,,,
La Habana Literaria,124,Estados Unidos do Brasil,,n.I.,NA,NA,NA,NA,NA,La bandera del Brasil,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,125,"Lincoln de Zayas y Junco, Enrique",,First search unsuccessful,M,NA,NA,NA,NA,Pedro Antonio de Alcarón,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,126,Anonymous,,n.I.,NA,NA,NA,NA,NA,Biblioteca pública,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,127,Anonymous,,n.I.,NA,NA,NA,NA,NA,Sala Jorrin,7,15.12.1891,1891-12-15,Image,n.I.,,,
La Habana Literaria,128,Anonymous,,n.I.,NA,NA,NA,NA,NA,Notas y noticias,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,129,"Fontanills, Enrique",,First search unsuccessful,M,NA,NA,NA,NA,La Habana elegante. Notas instantáneas,7,15.12.1891,1891-12-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,130,"Remo, M.",,First search unsuccessful,NA,NA,NA,NA,NA,Tesoro,8,30.12.1891,1891-12-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,131,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,24,La risa,8,30.12.1891,1891-12-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,132,"Meza y Suárez Inclán, Ramón",,http://viaf.org/viaf/39526863,M,Cuba,1861,1911,30,Las casas habaneras,8,30.12.1891,1891-12-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,133,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,134,Anonymous,,n.I.,NA,NA,NA,NA,NA,Celebridades cubanas,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,135,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,136,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,137,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,138,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,139,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,140,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,141,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,142,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,143,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,144,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,145,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
La Habana Literaria,146,Anonymous,,n.I.,NA,NA,NA,NA,NA,Las casas habaneras,8,30.12.1891,1891-12-30,Image,n.I.,,,
